Shen_ID	Size_voxels	Yeo7_ID	Yeo1_vox	Yeo1_per	Yeo2_vox	Yeo2_per	Yeo3_vox	Yeo3_per	Yeo4_vox	Yeo4_per	Yeo5_vox	Yeo5_per	Yeo6_vox	Yeo6_per	Yeo7_vox	Yeo7_per	Zero_vox	Zero_per
1	4162	4	NaN	NaN	497	11.94137433926	1268	30.4661220567035	1698	40.7976934166266	NaN	NaN	561	13.4790965881788	NaN	NaN	138	3.31571359923114
2	5093	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	852	16.728843510701	3821	75.0245434910662	420	8.24661299823287
3	2849	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2390	83.8890838890839	12	0.421200421200421	235	8.24850824850825	212	7.44120744120744
4	6089	2	NaN	NaN	4967	81.5733289538512	2	0.0328461159467893	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1120	18.393824930202
5	3161	4	NaN	NaN	635	20.0885795634293	1050	33.2173362859854	1378	43.5937994305599	NaN	NaN	NaN	NaN	NaN	NaN	98	3.10028472002531
6	4808	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	417	8.67304492512479	3962	82.4043261231281	18	0.374376039933444	411	8.54825291181364
7	4958	2	NaN	NaN	2650	53.4489713594191	1182	23.8402581686164	218	4.39693424768052	NaN	NaN	NaN	NaN	NaN	NaN	908	18.313836224284
8	2670	3	NaN	NaN	1012	37.9026217228464	753	28.2022471910112	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	905	33.8951310861423
9	3879	7	NaN	NaN	NaN	NaN	267	6.88321732405259	NaN	NaN	NaN	NaN	2691	69.3735498839907	156	4.02165506573859	765	19.7215777262181
10	5001	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1619	32.373525294941	NaN	NaN	3086	61.7076584683063	296	5.91881623675265
11	3294	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3294	100
12	4117	1	3381	82.122905027933	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	736	17.877094972067
13	5086	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5086	100
14	5888	1	5487	93.1895380434783	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	401	6.81046195652174
15	4742	2	NaN	NaN	4048	85.3648249683678	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	694	14.6351750316322
16	3268	6	86	2.63157894736842	NaN	NaN	641	19.6144430844553	NaN	NaN	NaN	NaN	1201	36.750305997552	1245	38.0966952264382	95	2.90697674418605
17	4192	4	NaN	NaN	NaN	NaN	5	0.119274809160305	3585	85.5200381679389	NaN	NaN	473	11.2833969465649	NaN	NaN	129	3.07729007633588
18	4700	2	NaN	NaN	2489	52.9574468085106	NaN	NaN	1732	36.8510638297872	NaN	NaN	NaN	NaN	NaN	NaN	479	10.1914893617021
19	5486	7	NaN	NaN	NaN	NaN	75	1.36711629602625	NaN	NaN	661	12.0488516223113	2277	41.5056507473569	2047	37.3131607728764	426	7.76522056142909
20	5552	6	NaN	NaN	NaN	NaN	NaN	NaN	221	3.98054755043228	NaN	NaN	4883	87.950288184438	1	0.0180115273775216	447	8.05115273775216
21	2706	7	8	0.295639320029564	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0.110864745011086	2603	96.1936437546194	92	3.39985218033998
22	4032	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3605	89.4097222222222	NaN	NaN	56	1.38888888888889	371	9.20138888888889
23	5006	1	4413	88.1542149420695	NaN	NaN	52	1.03875349580503	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	541	10.8070315621254
24	7386	7	NaN	NaN	NaN	NaN	276	3.73679935012185	NaN	NaN	NaN	NaN	578	7.82561603032765	6136	83.0760898998105	396	5.36149471974005
25	3911	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3911	100
26	4559	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2785	61.0879578855012	NaN	NaN	1575	34.547049791621	199	4.36499232287782
27	4950	4	NaN	NaN	34	0.686868686868687	NaN	NaN	3949	79.7777777777778	NaN	NaN	514	10.3838383838384	29	0.585858585858586	424	8.56565656565657
28	5627	2	NaN	NaN	4243	75.4043006930869	26	0.46205793495646	3	0.0533143771103608	NaN	NaN	NaN	NaN	NaN	NaN	1355	24.0803269948463
29	2869	3	NaN	NaN	1371	47.7866852561868	1347	46.9501568490763	8	0.278842802370164	NaN	NaN	NaN	NaN	NaN	NaN	143	4.98431509236668
30	4697	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4697	100
31	5453	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5453	100
32	4336	2	NaN	NaN	3520	81.1808118081181	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	816	18.8191881918819
33	3689	7	NaN	NaN	22	0.59636757928978	6	0.162645703442667	NaN	NaN	NaN	NaN	1691	45.8389807535918	1846	50.0406614258607	124	3.36134453781513
34	4540	2	NaN	NaN	3069	67.5991189427313	504	11.1013215859031	463	10.1982378854626	NaN	NaN	6	0.13215859030837	NaN	NaN	498	10.9691629955947
35	5441	3	573	10.5311523616982	NaN	NaN	3695	67.9103106046683	514	9.44679286895791	NaN	NaN	356	6.54291490534828	33	0.606506156956442	270	4.96232310237089
36	7329	1	5993	81.7710465274935	NaN	NaN	241	3.28830672670214	NaN	NaN	NaN	NaN	700	9.55109837631328	2	0.0272888525037522	393	5.36225951698731
37	4567	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1117	24.4580687541055	182	3.98511057587037	3060	67.0024085833151	208	4.554412086709
38	7121	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7121	100
39	7169	7	3368	46.980053005998	NaN	NaN	2868	40.0055795787418	NaN	NaN	NaN	NaN	225	3.13851304226531	312	4.3520714186079	396	5.52378295438694
40	4479	3	1390	31.0337128823398	NaN	NaN	1865	41.6387586514847	NaN	NaN	NaN	NaN	418	9.33244027684751	4	0.0893056485822728	802	17.9057825407457
41	5180	3	NaN	NaN	NaN	NaN	2636	50.8880308880309	395	7.62548262548263	NaN	NaN	556	10.7335907335907	1116	21.5444015444015	477	9.20849420849421
42	3951	8	1122	28.3978739559605	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2829	71.6021260440395
43	3745	7	NaN	NaN	NaN	NaN	NaN	NaN	565	15.086782376502	101	2.69692923898531	1357	36.2349799732977	880	23.497997329773	842	22.4833110814419
44	3339	2	NaN	NaN	2605	78.0173704702007	NaN	NaN	615	18.418688230009	NaN	NaN	NaN	NaN	109	3.26445043426176	10	0.299490865528601
45	5466	2	NaN	NaN	3437	62.8796194657885	1208	22.1002561287962	536	9.80607391145262	NaN	NaN	NaN	NaN	NaN	NaN	285	5.21405049396268
46	4393	7	NaN	NaN	NaN	NaN	NaN	NaN	37	0.842249032551787	NaN	NaN	186	4.2340086501252	3902	88.8231277031641	268	6.10061461415889
47	1419	7	55	3.87596899224806	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	0.422832980972516	1008	71.0359408033827	350	24.6652572233968
48	3128	7	1794	57.3529411764706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1244	39.769820971867	90	2.8772378516624
49	4637	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4637	100
50	2780	2	NaN	NaN	2464	88.6330935251798	43	1.54676258992806	196	7.05035971223022	NaN	NaN	NaN	NaN	NaN	NaN	77	2.76978417266187
51	5990	7	NaN	NaN	1883	31.4357262103506	NaN	NaN	4	0.0667779632721202	NaN	NaN	NaN	NaN	3987	66.5609348914858	116	1.93656093489149
52	1360	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1360	100
53	3369	1	3121	92.6387652122291	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	248	7.36123478777085
54	5730	7	NaN	NaN	NaN	NaN	NaN	NaN	773	13.4904013961606	NaN	NaN	1900	33.1588132635253	2213	38.6212914485166	844	14.7294938917976
55	6790	2	NaN	NaN	2274	33.4904270986745	57	0.839469808541974	3112	45.8321060382916	NaN	NaN	525	7.7319587628866	336	4.94845360824742	486	7.15758468335788
56	3992	2	NaN	NaN	3852	96.4929859719439	NaN	NaN	73	1.82865731462926	NaN	NaN	NaN	NaN	NaN	NaN	67	1.67835671342685
57	2248	3	NaN	NaN	472	20.9964412811388	1199	53.3362989323843	NaN	NaN	NaN	NaN	1	0.0444839857651246	NaN	NaN	576	25.6227758007117
58	4997	8	146	2.9217530518311	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4851	97.0782469481689
59	3434	4	NaN	NaN	140	4.0768782760629	NaN	NaN	2674	77.8683750728014	NaN	NaN	324	9.43506115317414	146	4.25160163075131	150	4.36808386721025
60	7732	3	927	11.989136057941	NaN	NaN	5698	73.6937403000517	NaN	NaN	NaN	NaN	867	11.2131401965856	NaN	NaN	240	3.10398344542162
61	4900	9	108	2.20408163265306	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4792	97.7959183673469
62	3697	7	NaN	NaN	1356	36.6783878820665	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1932	52.2585880443603	409	11.0630240735732
63	5496	7	NaN	NaN	NaN	NaN	220	4.00291120815138	39	0.709606986899563	NaN	NaN	4958	90.2110625909753	NaN	NaN	279	5.0764192139738
64	3055	3	NaN	NaN	8	0.261865793780687	140	4.58265139116203	1344	43.9934533551555	NaN	NaN	894	29.2635024549918	174	5.69558101472995	495	16.20294599018
65	2376	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1295	54.503367003367	NaN	NaN	1016	42.7609427609428	65	2.73569023569024
66	5549	9	NaN	NaN	NaN	NaN	7	0.126148855649667	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5542	99.8738511443503
67	7184	6	NaN	NaN	NaN	NaN	NaN	NaN	385	5.35913140311804	NaN	NaN	5653	78.6887527839644	465	6.47271714922049	681	9.4793986636971
68	3296	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3296	100
69	2745	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	3.3879781420765	2292	83.4972677595628	360	13.1147540983607
70	6972	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5737	82.2862880091796	NaN	NaN	NaN	NaN	1235	17.7137119908204
71	4972	2	NaN	NaN	3387	68.1214802896219	NaN	NaN	1147	23.0691874497184	NaN	NaN	20	0.402252614641995	NaN	NaN	418	8.4070796460177
72	4145	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3435	82.8709288299156	507	12.2316043425814	203	4.89746682750302
73	3235	9	779	24.080370942813	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2456	75.919629057187
74	4410	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2890	65.5328798185941	NaN	NaN	208	4.71655328798186	1312	29.750566893424
75	4543	7	NaN	NaN	17	0.374202069117323	NaN	NaN	1510	33.2379484921858	NaN	NaN	446	9.81730134272507	2544	55.9982390490865	26	0.572309046885318
76	5761	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5761	100
77	5720	8	528	9.23076923076923	NaN	NaN	NaN	NaN	NaN	NaN	680	11.8881118881119	NaN	NaN	311	5.43706293706294	4201	73.4440559440559
78	2783	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	346	12.4326266618757	168	6.03665109593963	2055	73.8411785842616	214	7.6895436579231
79	4741	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4741	100
80	4574	3	223	4.87538259728902	5	0.109313511149978	3758	82.1600349803236	15	0.327940533449934	NaN	NaN	NaN	NaN	NaN	NaN	573	12.5273283777875
81	6964	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5949	85.4250430786904	1015	14.5749569213096
82	4995	4	NaN	NaN	3	0.0600600600600601	NaN	NaN	4275	85.5855855855856	NaN	NaN	5	0.1001001001001	NaN	NaN	712	14.2542542542543
83	4683	2	NaN	NaN	2870	61.2855007473842	NaN	NaN	1394	29.767243220158	NaN	NaN	NaN	NaN	296	6.32073457185565	123	2.62652146060218
